Bias,Capacity_10K,Conductivity_10K,Capacity_1M,Conductivity_1M
1.17000e+00,7.711381e-09,4.991024e-03,1.683881e-09,1.348277e-02
1.18500e+00,7.917270e-09,5.408208e-03,1.630810e-09,1.413776e-02
1.20000e+00,8.191778e-09,5.880673e-03,1.571709e-09,1.479270e-02
1.21500e+00,8.629392e-09,6.362211e-03,1.506293e-09,1.546721e-02
1.23000e+00,8.858594e-09,6.876146e-03,1.434690e-09,1.612875e-02
1.24500e+00,9.272378e-09,7.423811e-03,1.357726e-09,1.678362e-02
1.26000e+00,9.311343e-09,8.011400e-03,1.276086e-09,1.743510e-02
1.27500e+00,9.613947e-09,8.607476e-03,1.188431e-09,1.807827e-02
1.29000e+00,9.963293e-09,9.222577e-03,1.095281e-09,1.864945e-02
1.30500e+00,1.011392e-08,9.883773e-03,1.000820e-09,1.929874e-02
1.32000e+00,1.078559e-08,1.056735e-02,9.012496e-10,1.989402e-02
1.33500e+00,1.072267e-08,1.129997e-02,7.980897e-10,2.047109e-02
1.35000e+00,1.058968e-08,1.207757e-02,6.921640e-10,2.101661e-02
1.36500e+00,1.097039e-08,1.282231e-02,5.843089e-10,2.153309e-02
1.38000e+00,1.120991e-08,1.359216e-02,4.727053e-10,2.203470e-02
1.39500e+00,1.175415e-08,1.438885e-02,3.632835e-10,2.250248e-02
1.41000e+00,1.179924e-08,1.525522e-02,2.521690e-10,2.292391e-02
1.42500e+00,1.231964e-08,1.610832e-02,1.420061e-10,2.333258e-02
1.44000e+00,1.206439e-08,1.696829e-02,3.096225e-11,2.370893e-02
1.45500e+00,1.239548e-08,1.787783e-02,-8.044634e-11,2.406161e-02
1.47000e+00,1.239115e-08,1.877583e-02,-1.900441e-10,2.438962e-02
1.48500e+00,1.228576e-08,1.966518e-02,-2.976722e-10,2.469769e-02
1.50000e+00,1.266286e-08,2.060773e-02,-4.036667e-10,2.496828e-02
1.51500e+00,1.256750e-08,2.157962e-02,-5.094782e-10,2.521861e-02
1.53000e+00,1.207054e-08,2.248869e-02,-6.098165e-10,2.544810e-02
1.54500e+00,1.273675e-08,2.345876e-02,-7.091009e-10,2.566633e-02
1.56000e+00,1.298158e-08,2.439309e-02,-8.059975e-10,2.584321e-02
1.57500e+00,1.276752e-08,2.536482e-02,-9.024120e-10,2.601103e-02
1.59000e+00,1.228697e-08,2.634415e-02,-9.921689e-10,2.617078e-02
1.60500e+00,1.273795e-08,2.731170e-02,-1.082066e-09,2.630087e-02
1.62000e+00,1.138166e-08,2.825152e-02,-1.170418e-09,2.642964e-02
1.63500e+00,1.232638e-08,2.929282e-02,-1.254348e-09,2.654695e-02
